company_name,5,4,3,2,1
Payfazz,10,2,0,0,0
HappyFresh,14,2,2,0,0
DANA,4,0,1,0,0
Mekari,51,14,1,0,3
Tiket,23,9,0,1,0
Alodokter,26,8,2,0,3
Tokopedia,145,72,19,4,3
Moka,20,19,2,2,0
HarukaEdu,9,9,3,0,0
GoJek,145,74,19,6,1
Quipper,24,20,5,1,2
Grab,172,94,32,3,3
Zalora,27,13,8,2,1
Bukalapak,84,40,11,1,4
Traveloka,26,13,3,1,1
Ruangguru,32,28,8,1,1
FinAccel (Kredivo),3,0,3,0,0
Blibli,79,39,15,0,1
PegiPegi,22,8,4,0,0
Fore Coffee,8,4,0,0,0
Shopee,106,46,13,6,5
OVO,36,11,8,3,0
Amartha,11,9,3,1,0
Lazada,56,57,22,6,7
Zenius,6,1,0,1,0
Cermati,6,9,6,0,2
Berrybenka,28,36,8,1,3
Bizzy,12,12,2,1,2
Bhinneka,29,35,10,2,4
Halodoc ID,14,15,2,0,0
JD.ID,41,31,6,3,3
Warung Pintar,7,5,0,1,1
Ralali,10,5,2,1,3
Fabelio,8,11,7,2,0
Sociolla,9,6,2,1,1
OYO Indonesia,40,21,10,5,10
Uang Teman,10,5,0,1,1
Akulaku,16,13,6,1,2
